"Titre du cube";"Numéro d'identification du produit";"Numéro d'identification de CANSIM";URL;"Notes sur le cube";"État de l'archivage";Fréquence;"Début de la période de référence";"Fin de la période de référence";"Nombre total de dimensions"
1;"Zone 3, Nouvelle-Écosse (Groupe de régions homologues H)";"[1203]";15;12;;;;;
1;"Zone 4, Nouvelle-Écosse (Groupe de régions homologues H)";"[1204]";16;12;;;;;
1;"Zone 5, Nouvelle-Écosse (Groupe de régions homologues D)";"[1205]";17;12;;;;;
1;"Zone 6, Nouvelle-Écosse (Groupe de régions homologues I)";"[1206]";18;12;;;;;
1;"Nouveau-Brunswick";"[13]";19;1;;;;;
1;"Région 1, Nouveau-Brunswick (Groupe de régions homologues I)";"[1301]";20;19;;;;;
1;"Région 2, Nouveau-Brunswick (Groupe de régions homologues H)";"[1302]";21;19;;;;;
1;"Région 3, Nouveau-Brunswick (Groupe de régions homologues I)";"[1303]";22;19;;;;;
1;"Région 4, Nouveau-Brunswick (Groupe de régions homologues H)";"[1304]";23;19;;;;;
1;"Région 5, Nouveau-Brunswick (Groupe de régions homologues D)";"[1305]";24;19;;;;;
1;"Région 6, Nouveau-Brunswick (Groupe de régions homologues D)";"[1306]";25;19;;;;;
1;"Région 7, Nouveau-Brunswick (Groupe de régions homologues D)";"[1307]";26;19;;;;;
1;Québec;"[24]";27;1;;;;;
1;"Région du Bas-Saint-Laurent, Québec (Groupe de régions homologues H)";"[2401]";28;27;;;;;
1;"Région du Saguenay-Lac-Saint-Jean, Québec (Groupe de régions homologues H)";"[2402]";29;27;;;;;
1;"Région de Québec, Québec (Groupe de régions homologues H)";"[2403]";30;27;;;;;
1;"Région de la Mauricie et Centre-du-Québec, Québec (Groupe de régions homologues H)";"[2404]";31;27;;;;;
1;"Région de l'Estrie, Québec (Groupe de régions homologues H)";"[2405]";32;27;;;;;
1;"Région de Montréal-Centre, Québec (Groupe de régions homologues A)";"[2406]";33;27;;;;;
1;"Région de l'Outaouais, Québec (Groupe de régions homologues H)";"[2407]";34;27;;;;;
1;"Région de l'Abitibi-Témiscamingue, Québec (Groupe de régions homologues H)";"[2408]";35;27;;;;;
1;"Région de la Côte-Nord, Québec (Groupe de régions homologues H)";"[2409]";36;27;;;;;
1;"Région du Nord-du-Québec, Québec (Groupe de régions homologues F)";"[2410]";37;27;;;;;
1;"Région de la Gaspésie-Îles-de-la-Madeleine, Québec (Groupe de régions homologues D)";"[2411]";38;27;;;;;
1;"Région de la Chaudière-Appalaches, Québec (Groupe de régions homologues H)";"[2412]";39;27;;;;;
1;"Région de Laval, Québec (Groupe de régions homologues I)";"[2413]";40;27;;;;;
1;"Région de Lanaudière, Québec (Groupe de régions homologues I)";"[2414]";41;27;;;;;
1;"Région des Laurentides, Québec (Groupe de régions homologues H)";"[2415]";42;27;;;;;
1;"Région de la Montérégie, Québec (Groupe de régions homologues H)";"[2416]";43;27;;;;;
1;"Région du Nunavik, Québec (Groupe de régions homologues C)";"[2417]";44;27;;;;;
1;"Région des Terres-Cries-de-la-Baie-James, Québec (Groupe de régions homologues C)";"[2418]";45;27;;;;;
1;"Ontario par District Health Council";"[35]";46;1;;"15";;;
1;"Champlain District Health Council, Ontario";"[3501]";47;46;;;;;
1;"Quinte-Kingston and Rideau District Health Council, Ontario";"[3502]";48;46;;;;;
1;"Durham-Haliburton-Kawartha and Pine Ridge District Health Council, Ontario";"[3503]";49;46;;;;;
1;"Toronto District Health Council, Ontario";"[3504]";50;46;;;;;
1;"Simcoe-York District Health Council, Ontario";"[3505]";51;46;;;;;
1;"Halton-Peel District Health Council, Ontario";"[3506]";52;46;;;;;
1;"Waterloo-Wellington-Dufferin District Health Council, Ontario";"[3507]";53;46;;;;;
1;"Hamilton-Wentworth District Health Council, Ontario";"[3508]";54;46;;;;;
1;"Niagara District Health Council, Ontario";"[3509]";55;46;;;;;
1;"Grand River District Health Council, Ontario";"[3510]";56;46;;;;;
1;"Thames Valley District Health Council, Ontario";"[3511]";57;46;;;;;
1;"Essex-Kent and Lambton District Health Council, Ontario";"[3512]";58;46;;;;;
1;"Grey-Bruce-Huron and Perth District Health Council, Ontario";"[3513]";59;46;;;;;
1;"Muskoka-Nipissing and Parry Sound District Health Council, Ontario";"[3514]";60;46;;;;;
1;"Algoma-Cochrane-Manitoulin and Sudbury District Health Council, Ontario";"[3515]";61;46;;;;;
1;"Northwestern Ontario District Health Council, Ontario";"[3516]";62;46;;;;;
1;"Ontario par Health Unit";"[35]";63;1;;"15";;;
1;"Algoma Public Health Unit, Ontario (Groupe de régions homologues H)";"[3526]";64;63;;;;;
1;"Brant Public Health Unit, Ontario (Groupe de régions homologues I)";"[3527]";65;63;;;;;
1;"Durham Public Health Unit, Ontario (Groupe de régions homologues J)";"[3530]";66;63;;;;;
1;"Elgin-St Thomas Public Health Unit, Ontario (Groupe de régions homologues I)";"[3531]";67;63;;;;;
1;"Bruce-Grey-Owen Sound Public Health Unit, Ontario (Groupe de régions homologues I)";"[3533]";68;63;;;;;
1;"Haldimand-Norfolk Public Health Unit, Ontario (Groupe de régions homologues I)";"[3534]";69;63;;;;;
1;"Haliburton-Kawartha-Pine Ridge Public Health Unit, Ontario (Groupe de régions homologues I)";"[3535]";70;63;;;;;
1;"Halton Public Health Unit, Ontario (Groupe de régions homologues J)";"[3536]";71;63;;;;;
1;"Hamilton Public Health Unit, Ontario (Groupe de régions homologues H)";"[3537]";72;63;;;;;
1;"Hastings and Prince Edward Public Health Unit, Ontario (Groupe de régions homologues I)";"[3538]";73;63;;;;;
1;"Huron Public Health Unit, Ontario (Groupe de régions homologues G)";"[3539]";74;63;;;;;
1;"Kent-Chatham Public Health Unit, Ontario (Groupe de régions homologues I)";"[3540]";75;63;;;;;
1;"Kingston-Frontenac-Lennox and Addington Public Health Unit, Ontario (Groupe de régions homologues I)";"[3541]";76;63;;;;;
1;"Lambton Public Health Unit, Ontario (Groupe de régions homologues I)";"[3542]";77;63;;;;;
1;"Leeds-Grenville-Lanark Public Health Unit, Ontario (Groupe de régions homologues I)";"[3543]";78;63;;;;;
1;"Middlesex-London Public Health Unit, Ontario (Groupe de régions homologues I)";"[3544]";79;63;;;;;
1;"Muskoka-Parry Sound Public Health Unit, Ontario (Groupe de régions homologues E)";"[3545]";80;63;;;;;
1;"Niagara Public Health Unit, Ontario (Groupe de régions homologues I)";"[3546]";81;63;;;;;
1;"North Bay Public Health Unit, Ontario (Groupe de régions homologues H)";"[3547]";82;63;;;;;
1;"Northwestern Public Health Unit, Ontario (Groupe de régions homologues G)";"[3549]";83;63;;;;;
1;"Ottawa Public Health Unit, Ontario (Groupe de régions homologues B)";"[3551]";84;63;;;;;
1;"Oxford Public Health Unit, Ontario (Groupe de régions homologues I)";"[3552]";85;63;;;;;
1;"Peel Public Health Unit, Ontario (Groupe de régions homologues B)";"[3553]";86;63;;;;;
1;"Perth Public Health Unit, Ontario (Groupe de régions homologues G)";"[3554]";87;63;;;;;
1;"Peterborough Public Health Unit, Ontario (Groupe de régions homologues I)";"[3555]";88;63;;;;;
1;"Porcupine Public Health Unit, Ontario (Groupe de régions homologues H)";"[3556]";89;63;;;;;
1;"Renfrew Public Health Unit, Ontario (Groupe de régions homologues G)";"[3557]";90;63;;;;;
1;"Eastern Ontario Public Health Unit, Ontario (Groupe de régions homologues I)";"[3558]";91;63;;;;;
1;"Simcoe Public Health Unit, Ontario (Groupe de régions homologues J)";"[3560]";92;63;;;;;
1;"Sudbury Public Health Unit, Ontario (Groupe de régions homologues H)";"[3561]";93;63;;;;;
1;"Thunder Bay Public Health Unit, Ontario (Groupe de régions homologues I)";"[3562]";94;63;;;;;
1;"Timiskaming Public Health Unit, Ontario (Groupe de régions homologues E)";"[3563]";95;63;;;;;
1;"Waterloo Public Health Unit, Ontario (Groupe de régions homologues I)";"[3565]";96;63;;;;;
1;"Wellington-Dufferin-Guelph Public Health Unit, Ontario (Groupe de régions homologues J)";"[3566]";97;63;;;;;
1;"Windsor-Essex Public Health Unit, Ontario (Groupe de régions homologues I)";"[3568]";98;63;;;;;
1;"York Public Health Unit, Ontario (Groupe de régions homologues B)";"[3570]";99;63;;;;;
1;"Toronto Public Health Unit, Ontario (Groupe de régions homologues A)";"[3595]";100;63;;;;;
1;Manitoba;"[46]";101;1;;;;;
1;"Winnipeg, Manitoba (Groupe de régions homologues H)";"[4610]";102;101;;;;;
1;"Brandon, Manitoba (Groupe de régions homologues I)";"[4615]";103;101;;;;;
1;"North Eastman, Manitoba (Groupe de régions homologues G)";"[4620]";104;101;;;;;
1;"South Eastman, Manitoba (Groupe de régions homologues G)";"[4625]";105;101;;;;;
1;"Interlake, Manitoba (Groupe de régions homologues G)";"[4630]";106;101;;;;;
1;"Central, Manitoba (Groupe de régions homologues G)";"[4640]";107;101;;;;;
1;"Marquette, Manitoba (Groupe de régions homologues E)";"[4650]";108;101;;;;;
1;"South Westman, Manitoba (Groupe de régions homologues E)";"[4655]";109;101;;;;;
1;"Parkland, Manitoba (Groupe de régions homologues E)";"[4660]";110;101;;;;;
1;"Norman, Manitoba (Groupe de régions homologues F)";"[4670]";111;101;;;;;
1;"Burntwood et Churchill, Manitoba (Groupe de régions homologues C)";"[4680, 4690]";112;101;;"16";;;
1;"Burntwood, Manitoba (Groupe de régions homologues C)";"[4680]";113;112;;;;;
1;"Churchill, Manitoba (Groupe de régions homologues F)";"[4690]";114;112;;;;;
1;Saskatchewan;"[47]";115;1;;"17";;;
1;"Weyburn Service Area, Saskatchewan (Groupe de régions homologues G)";"[4701]";116;115;;;;;
1;"Moose Jaw Service Area, Saskatchewan (Groupe de régions homologues E)";"[4702]";117;115;;;;;
1;"Swift Current Service Area, Saskatchewan (Groupe de régions homologues G)";"[4703]";118;115;;;;;
1;"Regina Service Area, Saskatchewan (Groupe de régions homologues I)";"[4704]";119;115;;;;;
1;"Yorkton Service Area, Saskatchewan (Groupe de régions homologues E)";"[4705]";120;115;;;;;
1;"Saskatoon Service Area, Saskatchewan (Groupe de régions homologues I)";"[4706]";121;115;;;;;
1;"Rosetown Service Area, Saskatchewan (Groupe de régions homologues G)";"[4707]";122;115;;;;;
1;"Melfort Service Area, Saskatchewan (Groupe de régions homologues E)";"[4708]";123;115;;;;;
1;"Prince Albert Service Area, Saskatchewan (Groupe de régions homologues E)";"[4709]";124;115;;;;;
1;"North Battleford Service Area, Saskatchewan (Groupe de régions homologues E)";"[4710]";125;115;;;;;
1;"Northern Health Services Branch, Saskatchewan (Groupe de régions homologues C)";"[4711]";126;115;;;;;
1;Alberta;"[48]";127;1;;"18";;;
1;"Chinook Regional Health Authority, Alberta (Groupe de régions homologues G)";"[4801]";128;127;;;;;
1;"Palliser Health Authority, Alberta (Groupe de régions homologues G)";"[4802]";129;127;;;;;
1;"Headwaters Health Authority, Alberta (Groupe de régions homologues J)";"[4803]";130;127;;;;;
1;"Calgary Regional Health Authority, Alberta (Groupe de régions homologues B)";"[4804]";131;127;;;;;
1;"Health Authority #5, Alberta (Groupe de régions homologues G)";"[4805]";132;127;;;;;
1;"David Thompson Regional Health Authority, Alberta (Groupe de régions homologues G)";"[4806]";133;127;;;;;
1;"East Central Health Authority, Alberta (Groupe de régions homologues G)";"[4807]";134;127;;;;;
1;"Westview Regional Health Authority, Alberta (Groupe de régions homologues J)";"[4808]";135;127;;;;;
1;"Crossroads Regional Health Authority, Alberta (Groupe de régions homologues G)";"[4809]";136;127;;;;;
1;"Capital Health Authority, Alberta (Groupe de régions homologues B)";"[4810]";137;127;;;;;
1;"Aspen Regional Health Authority, Alberta (Groupe de régions homologues G)";"[4811]";138;127;;;;;
1;"Lakeland Regional Health Authority, Alberta (Groupe de régions homologues G)";"[4812]";139;127;;;;;
1;"Mistahia Regional Health Authority, Alberta (Groupe de régions homologues F)";"[4813]";140;127;;;;;
1;"Peace Regional Health Authority, Alberta (Groupe de régions homologues G)";"[4814]";141;127;;;;;
1;"Keeweetinok Lakes Regional Health Authority, Alberta (Groupe de régions homologues F)";"[4815]";142;127;;;;;
1;"Northern Lights Regional Health Authority, Alberta (Groupe de régions homologues F)";"[4816]";143;127;;;;;
1;"Northwestern Regional Health Authority, Alberta (Groupe de régions homologues F)";"[4817]";144;127;;;;;
1;"Colombie-Britannique";"[59]";145;1;;"19,20,21";;;
1;"East Kootenay, Colombie-Britannique (Groupe de régions homologues G) (janvier 2000)";"[5901T]";146;145;t;;;;
1;"West Kootenay-Boundary, Colombie-Britannique (Groupe de régions homologues I) (janvier 2000)";"[5902T]";147;145;t;;;;
1;"North Okanagan, Colombie-Britannique (Groupe de régions homologues I) (janvier 2000)";"[5903T]";148;145;t;;;;
1;"South Okanagan Similkameen, Colombie-Britannique (Groupe de régions homologues I) (janvier 2000)";"[5904T]";149;145;t;;;;
1;"Thompson, Colombie-Britannique (Groupe de régions homologues I) (janvier 2000)";"[5905T]";150;145;t;;;;
1;"Fraser Valley, Colombie-Britannique (Groupe de régions homologues I) (janvier 2000)";"[5906T]";151;145;t;;;;
1;"South Fraser Valley, Colombie-Britannique (Groupe de régions homologues B) (janvier 2000)";"[5907T]";152;145;t;;;;
1;"Burnaby/Simon Fraser, Colombie-Britannique (janvier 2000)";"[5922T]";153;145;t;;;;
1;"Burnaby, Colombie-Britannique (Groupe de régions homologues A) (janvier 2000)";"[5917T]";154;153;t;;;;
1;"Simon Fraser, Colombie-Britannique (Groupe de régions homologues B) (janvier 2000)";"[5908T]";155;153;t;;;;
1;"Coast Garibaldi, Colombie-Britannique (Groupe de régions homologues J) (janvier 2000)";"[5909T]";156;145;t;;;;
1;"Central Vancouver Island, Colombie-Britannique (Groupe de régions homologues I) (janvier 2000)";"[5910T]";157;145;t;;;;
1;"Upper Island/Central Coast, Colombie-Britannique (Groupe de régions homologues J) (janvier 2000)";"[5911T]";158;145;t;;;;
1;"Cariboo, Colombie-Britannique (Groupe de régions homologues F) (janvier 2000)";"[5912T]";159;145;t;;;;
1;"North West, Colombie-Britannique (Groupe de régions homologues F) (janvier 2000)";"[5913T]";160;145;t;;;;
1;"Peace Liard, Colombie-Britannique (Groupe de régions homologues F) (janvier 2000)";"[5914T]";161;145;t;;;;
1;"Northern Interior, Colombie-Britannique (Groupe de régions homologues F) (janvier 2000)";"[5915T]";162;145;t;;;;
1;"Vancouver/Richmond, Colombie-Britannique (janvier 2000)";"[5921T]";163;145;t;;;;
1;"Vancouver, Colombie-Britannique (Groupe de régions homologues A) (janvier 2000)";"[5916T]";164;163;t;;;;
1;"Richmond, Colombie-Britannique (Groupe de régions homologues A) (janvier 2000)";"[5919T]";165;163;t;;;;
1;"North Shore, Colombie-Britannique (Groupe de régions homologues B) (janvier 2000)";"[5918T]";166;145;t;;;;
1;"Capital, Colombie-Britannique (Groupe de régions homologues I) (janvier 2000)";"[5920T]";167;145;t;;;;
1;Yukon;"[60]";168;1;;;;;
1;"Yukon (Groupe de régions homologues F)";"[6001]";169;168;;;;;
1;"Territoires du Nord-Ouest";"[61]";170;1;;;;;
1;"Territoires du Nord-Ouest (Groupe de régions homologues F)";"[6101]";171;170;;;;;
1;Nunavut;"[62]";172;1;;;;;
1;"Nunavut (Groupe de régions homologues C)";"[6201]";173;172;;;;;
1;"Groupe de régions homologues A";[A];174;1;;;;;
1;"Groupe de régions homologues B";[B];175;1;;;;;
1;"Groupe de régions homologues C";[C];176;1;;;;;
1;"Groupe de régions homologues D";[D];177;1;;;;;
1;"Groupe de régions homologues E";[E];178;1;;;;;
1;"Groupe de régions homologues F";[F];179;1;;;;;
1;"Groupe de régions homologues G";[G];180;1;;;;;
1;"Groupe de régions homologues H";[H];181;1;;;;;
1;"Groupe de régions homologues I";[I];182;1;;;;;
1;"Groupe de régions homologues J";[J];183;1;;;;;
1;"East Kootenay, Colombie-Britannique (juin 2002)";"[5911]";184;145;;;;;
1;"Kootenay Boundary, Colombie-Britannique (juin 2002)";"[5912]";185;145;;;;;
1;"Okanagan, Colombie-Britannique (juin 2002)";"[5913]";186;145;;;;;
1;"Thompson Cariboo, Colombie-Britannique (juin 2002)";"[5914]";187;145;;;;;
1;"Fraser Valley, Colombie-Britannique (juin 2002)";"[5921]";188;145;;;;;
1;"Simon Fraser, Colombie-Britannique (juin 2002)";"[5922]";189;145;;;;;
1;"South Fraser, Colombie-Britannique (juin 2002)";"[5923]";190;145;;;;;
1;"Richmond, Colombie-Britannique (juin 2002)";"[5931]";191;145;;;;;
1;"Vancouver, Colombie-Britannique (juin 2002)";"[5932]";192;145;;;;;
1;"North Shore/Coast Garibaldi, Colombie-Britannique (juin 2002)";"[5933]";193;145;;;;;
1;"South Vancouver Island, Colombie-Britannique (juin 2002)";"[5941]";194;145;;;;;
1;"Central Vancouver Island, Colombie-Britannique (juin 2002)";"[5942]";195;145;;;;;
1;"North Vancouver Island, Colombie-Britannique (juin 2002)";"[5943]";196;145;;;;;
1;"Northwest, Colombie-Britannique (juin 2002)";"[5951]";197;145;;;;;
1;"Northern Interior, Colombie-Britannique (juin 2002)";"[5952]";198;145;;;;;
1;"Northeast, Colombie-Britannique (juin 2002)";"[5953]";199;145;;;;;
2;"Total, 20 à 64 ans";;1;;;;;;
2;"20 à 34 ans";;2;1;;;;;
2;"20 à 24 ans";;3;2;;;;;
2;"25 à 34 ans";;4;2;;;;;
2;"35 à 44 ans";;5;1;;;;;
2;"45 à 64 ans";;6;1;;;;;
2;"45 à 54 ans";;7;6;;;;;
2;"55 à 64 ans";;8;6;;;;;
3;"Hommes et femmes";;1;;;;;;
3;Hommes;;2;1;;;;;
3;Femmes;;3;1;;;;;
4;"Population totale pour la variable indice de masse corporelle";;1;;;;;;
4;"Poids insuffisant - IMC inférieur à 18,5";;2;1;;;;;
4;"Poids normal - IMC 18,5-24,9";;3;1;;;;;
4;"Embonpoint - IMC 25,0-29,9";;4;1;;;;;
4;"Obésité - IMC 30,0 ou plus";;5;1;;;;;
4;"Indice de masse corporelle, non déclaré";;6;1;;;;;
5;"Nombre de personnes";;1;;;;;;
5;"Limite inférieure de l'intervalle de confiance de 95 % - nombre de personnes";;2;;;;;;
5;"Limite supérieure de l'intervalle de confiance de 95 % - nombre de personnes";;3;;;;;;
5;"Coefficient de variation pour le nombre de personnes";;4;;;;;;
5;Pourcentage;;5;;;;;;
5;"Limite inférieure de l'intervalle de confiance de 95 % - pourcentage";;6;;;;;;
5;"Limite supérieure de l'intervalle de confiance de 95 % - pourcentage";;7;;;;;;
5;"Coefficient de variation pour le pourcentage";;8;;;;;;

Légende Symbole
Description;Symbole
"indisponible pour une période de référence précise";".."
"inférieur à la limite de détection";<LDD
"valeur arrondie à 0 (zéro) là où il y a une distinction importante entre le zéro absolu et la valeur arrondie";"0s"
"qualité des données : excellente";A
"qualité des données : très bonne";B
"qualité des données : bonne";C
"qualité des données : acceptable";D
"à utiliser avec prudence";E
"trop peu fiable pour être publié";F
"n'ayant pas lieu de figurer";"..."
provisoire;p
révisé;r
"confidentiel en vertu des dispositions de la Loi sur la statistique";x
terminé;t

"Code d'enquête";"Nom de l'enquête"
"3226";"Enquête sur la santé dans les collectivités canadiennes - Composante annuelle"

"Code du sujet";"Nom du sujet"
"13";Santé

"Numéro d'identification de la note";Note
1;"Source : Statistique Canada, Enquête sur la santé dans les collectivités canadiennes, 2000-2001"
2;"L'indice de masse corporelle (IMC), norme internationale, qui établit le rapport entre le poids et la taille, est une méthode utilisée couramment pour déterminer si le poids d'une personne se situe dans une fourchette saine compte tenu de sa taille."
3;"L'indice de masse corporelle (IMC), norme internationale, est calculé de la façon suivante : poids exprimé  en kilogrammes divisé par le carré de la taille exprimée en mètres."
4;"L'indice est :  inférieur à 18,5 (poids insuffisant), 18,5-24,9 (poids normal), 25,0-29,9 (embonpoint) et 30,0 ou plus (obésité)."
5;"Personnes de 20 à 64, sauf les femmes enceintes et les personnes de moins de 3 pieds (0,914 mètres) ou de plus de 6 pieds 11 pouces (2,108 mètres)."
6;"Les coefficients de variation (CV) et les intervalles de confiance (IC) de 95 % ont été calculés selon la méthode de rééchantillonnage « Bootstrap »."
7;"Les données dont le coefficient de variation (CV) se situe entre 16,6 % et 33,3 % sont marquées d'un (E) et doivent être interprétées avec prudence."
8;"Les données présentant un coefficient de variation (CV) supérieur à 33,3 % ont été supprimées (F) en raison de l'extrême variabilité d'échantillonnage."
9;"Les régions socio-sanitaires sont définies par les gouvernements provinciaux comme étant les secteurs de responsabilité des conseils régionaux de santé (établis aux termes de la loi), ou encore comme des régions intéressant les autorités sanitaires."
10;"Un « groupe de régions homologues » est un groupe de régions socio-sanitaires qui comportent des caractéristiques sociales et économiques similaires."
11;"À Terre-Neuve-et-Labrador, les régions socio-sanitaires sont généralement appelées des régions  « Health and Community Services (HCS) »."
12;"À l'Île-du-Prince-Édouard, les deux régions socio-sanitaires divisent la province selon une entité « rurale » et une entité « urbaine »."
13;"L'Île-du-Prince-Édouard a délimité des régions socio-sanitaires pour les seuls besoins statistiques; lesquelles ne correspondent en rien aux cinq régions socio-sanitaires créées à des fins de gestion."
14;"En Nouvelle-Écosse, les régions sont appelées des « zones » et correspondent aux limites administratives des régions socio-sanitaires de la province."
15;"En Ontario, les « Public Health Units (PHU) » gèrent les programmes de promotion de la santé et de prévention de la maladie, tandis que les « District Health Councils (DHC) » sont des organismes consultatifs de planification en matière de santé."
16;"Compte tenu de la faible population de Churchill au Manitoba (1 110 habitants en 1996), l'Enquête sur la santé dans les collectivités canadiennes recueille seulement des données pour l'agrégat de Burntwood et Churchill (régions 4680, 4690)."
17;"En Saskatchewan, des « service areas (SA) » ont été créées en regroupant les 33 districts de santé."
18;"En Alberta, les régions socio-sanitaires sont appelées « Health Authorities (HA) » ou  « Regional Health Authorities (RHA) »."
19;"En 2002, le Ministère de la santé en Colombie-Britannique a changé les limites des régions socio-sanitaires. Le nombre de régions est passé de 20 à 16  « health service delivery areas » (HSDA)."
20;"Pour les HSDA de la Colombie-Britannique, l'année de référence est ajoutée au nom de la région socio-sanitaire; un « T » suit le code afin de distinguer les anciennes régions socio-sanitaires."
21;"Les données calculées pour les HSDA en Colombie-Britannique seront différentes des données diffusées précédemment pour les régions socio-sanitaires (surtout là où les limites n'ont pas été changées) à cause des estimations révisées de la population."
22;"Les signes conventionnels suivants sont employés dans les publications de Statistique Canada : (..) nombres indisponibles pour une période de référence précise et (...) nombres n'ayant pas lieu de figurer."
23;"En raison de changements dans la géographie et la méthodologie, le tableau (105-0009) a été archivé. La méthodologie révisée est disponible dans le tableau (105-0007). Les mises à jour sont dans le tableau (105-0209)."

"Numéro d'identification de la correction";"Date de la correction";"Note sur la correction"


