Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Deaths - cumulative total,Deaths - cumulative total per 100000 population
Uganda,Africa,172163,376.0,3632,8.0
Monaco,Europe,17181,43780.0,67,171.0
Equatorial Guinea,Africa,17130,1221.0,183,13.0
Samoa,Western Pacific,17057,8597.0,31,16.0
T�rkiye,Europe,17004713,20162.0,101419,120.0
Tonga,Western Pacific,16992,16076.0,13,12.0
Marshall Islands,Western Pacific,16297,27532.0,17,29.0
Nicaragua,Americas,16263,245.0,245,4.0
Dominica,Americas,16047,22290.0,74,103.0
Pakistan,Eastern Mediterranean,1580631,716.0,30656,14.0
Jamaica,Americas,157369,5314.0,3621,122.0
Djibouti,Eastern Mediterranean,15690,1588.0,189,19.0
Central African Republic,Africa,15443,320.0,113,2.0
Norway,Europe,1535084,28599.0,5732,107.0
Kazakhstan,Europe,1504370,8012.0,19072,102.0
Finland,Europe,1499712,27143.0,11466,208.0
Northern Mariana Islands,Western Pacific,14985,26035.0,41,71.0
Lithuania,Europe,1422624,50915.0,9879,354.0
Montserrat,Americas,1403,28066.0,8,160.0
Spain,Europe,13980340,29536.0,121852,257.0
Cambodia,Western Pacific,139326,833.0,3056,18.0
Slovenia,Europe,1362972,65032.0,9914,473.0
Croatia,Europe,1356122,33417.0,18784,463.0
Bulgaria,Europe,1338371,19253.0,38765,558.0
Rwanda,Africa,133268,1029.0,1468,11.0
Morocco,Eastern Mediterranean,1279115,3465.0,16305,44.0
Gambia,Africa,12627,522.0,372,15.0
Cameroon,Africa,125279,472.0,1974,7.0
Puerto Rico,Americas,1252713,43788.0,5938,208.0
Guatemala,Americas,1250713,6981.0,20203,113.0
Lebanon,Eastern Mediterranean,1239904,18166.0,10947,160.0
Malta,Europe,123618,24024.0,1014,197.0
Costa Rica,Americas,1236099,24265.0,9374,184.0
Saint Martin (French part),Americas,12324,31879.0,46,119.0
Bolivia (Plurinational State of),Americas,1212156,10384.0,22387,192.0
Vanuatu,Western Pacific,12019,3913.0,14,5.0
Greenland,Europe,11971,21086.0,21,37.0
Yemen,Eastern Mediterranean,11945,40.0,2159,7.0
Australia,Western Pacific,11861161,46515.0,25236,99.0
Viet Nam,Western Pacific,11624000,11942.0,43206,44.0
Tunisia,Eastern Mediterranean,1153361,9759.0,29423,249.0
Cuba,Americas,1113662,9832.0,8530,75.0
Sint Maarten (Dutch part),Americas,11051,25771.0,92,215.0
Barbados,Americas,108840,37874.0,593,206.0
Ecuador,Americas,1080189,6122.0,36056,204.0
Angola,Africa,107487,327.0,1937,6.0
United Arab Emirates,Eastern Mediterranean,1067030,10789.0,2349,24.0
Panama,Americas,1045165,24223.0,8775,203.0
Uruguay,Americas,1042717,30017.0,7694,221.0
United States of America,Americas,103436829,31250.0,1218325,368.0
Eritrea,Africa,10189,287.0,103,3.0
Mongolia,Western Pacific,1011489,30854.0,2136,65.0
Argentina,Americas,10111253,22372.0,130744,289.0
Democratic Republic of the Congo,Africa,101006,113.0,1474,2.0
Nepal,South-East Asia,1003450,3444.0,12031,41.0
